ds_name,algo_name,hc_cat_encoder,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,mhe,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,TargetEncoder,Precision,0.6870834655664868,one-hot,0.6832493702770781,1.0056115606632083
Adult,DT,mhe,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,TargetEncoder,Recall,0.6138361213495889,one-hot,0.615253756733768,0.9976958525345624
Adult,DT,mhe,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,TargetEncoder,F1,0.648397723869422,one-hot,0.6474712815157392,1.0014308624646855
Adult,DT,mhe,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,TargetEncoder,Aver_precision,0.5147068986425144,one-hot,0.5129807638922212,1.0033649112633312
Adult,DT,mhe,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,TargetEncoder,Balanced_accuracy,0.7626074369106384,one-hot,0.7624174589888506,1.0002491783465186
Adult,DT,mhe,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,TargetEncoder,train_time(s),0.2025511264801025,one-hot,0.3032751083374023,0.6678791661818765
Adult,DT,mhe,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,TargetEncoder,pred_time(s),0.0028944015502929,one-hot,0.0038914680480957,0.7437813993382992
Adult,DT,mhe,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,TargetEncoder,AUC,0.7581581911990035,one-hot,0.763736913067626,0.9926954926844964
Adult,DT,mhe,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,TargetEncoder,Accuracy,0.8320480447689893,one-hot,0.837098205145704,0.9939670634273602
Adult,DT,mhe,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,TargetEncoder,Precision,0.6571079926784624,one-hot,0.6698461538461539,0.980983452551678
Adult,DT,mhe,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,TargetEncoder,Recall,0.6170151818963048,one-hot,0.6236035519908336,0.9894350022967384
Adult,DT,mhe,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,TargetEncoder,F1,0.6364307874132072,one-hot,0.6458982346832816,0.9853421998053352
Adult,DT,mhe,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,TargetEncoder,Aver_precision,0.4966897214613618,one-hot,0.5073929102177933,0.978905521656112
Adult,DT,mhe,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,TargetEncoder,Balanced_accuracy,0.7581581911990035,one-hot,0.7637369130676261,0.9926954926844964
