ds_name,algo_name,hc_cat_encoder,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,mhe+te,12.0,DT_Adult_native-country_3_12_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,Aver_precision,0.5125217532759878,TargetEncoder,0.5082112765071471,1.0084816629777793
Adult,DT,mhe+te,12.0,DT_Adult_native-country_3_12_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,Balanced_accuracy,0.7617915766618124,TargetEncoder,0.7601598561641605,1.002146549155971
Adult,DT,mhe+te,12.0,DT_Adult_native-country_3_12_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,train_time(s),0.2025771141052246,TargetEncoder,0.2015130519866943,1.005280363271956
Adult,DT,mhe+te,12.0,DT_Adult_native-country_3_12_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,pred_time(s),0.0018742084503173,TargetEncoder,0.0029327869415283,0.6390537354686373
Adult,DT,mhe+te,12.0,DT_Adult_native-country_4_12_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,AUC,0.7586868883566831,TargetEncoder,0.7598238509334495,0.9985036497928176
Adult,DT,mhe+te,12.0,DT_Adult_native-country_4_12_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,Accuracy,0.8330034805159353,TargetEncoder,0.8336859346208968,0.9991814014407334
Adult,DT,mhe+te,12.0,DT_Adult_native-country_4_12_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,Precision,0.6600245248313917,TargetEncoder,0.6613594611145132,0.9979815268978358
Adult,DT,mhe+te,12.0,DT_Adult_native-country_4_12_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,Recall,0.6167287310226296,TargetEncoder,0.6187338871383558,0.9967592592592592
Adult,DT,mhe+te,12.0,DT_Adult_native-country_4_12_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,F1,0.637642529246261,TargetEncoder,0.6393369838685807,0.9973496690085616
Adult,DT,mhe+te,12.0,DT_Adult_native-country_4_12_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,Aver_precision,0.4983684468869191,TargetEncoder,0.5000401515414787,0.9966568591553974
