ds_name,algo_name,hc_cat_encoder,J,performance_mean,performance_std,relative_performance_mean,relative_performance_std,performance_baseline_mean,performance_baseline_std,measure_count
Adult,DT,mhe,2.0,0.20252809524536128,5.657974790513243e-05,0.6687005045806771,0.0011102489848261693,0.30286889076232903,0.0005506791913306488,5
Adult,DT,mhe+te,8.0,0.20257172584533692,1.5264934553935207e-05,1.0021088564974927,0.0027947043525360852,0.20214667320251462,0.0005573362988452751,5
Adult,DT,pca,21.0,0.30307879447937014,0.0004480425158538084,1.000696669495945,0.002815462801530069,0.30286889076232903,0.0005506791913306488,5
Adult,GBDT,mhe,21.0,4.4130332469940186,0.04503559457658895,0.6414914778478992,0.030949580070109544,6.890599966049194,0.29838927145832617,5
Adult,GBDT,mhe+te,4.0,3.243998908996582,0.08415681031087173,1.0388274758332505,0.02776329165632858,3.1234578132629394,0.07157604758214003,5
Adult,GBDT,pca,21.0,5.0573179721832275,0.11000069078607476,0.7350144672278419,0.03527543730069538,6.890599966049194,0.29838927145832617,5
Adult,LR,mhe,8.0,0.4037266731262207,0.0008391041649399691,0.8806381540350096,0.10896497811753762,0.46396360397338865,0.05572329316215621,5
Adult,LR,pca,16.0,0.404100227355957,0.0008390398879362062,0.8814736877250666,0.10928494145573037,0.46396360397338865,0.05572329316215621,5
Adult,MLP,mhe,3.0,105.73607482910157,16.268439951438374,1.5643557765620655,0.26423672159878686,68.2354413509369,8.614487105363406,5
Adult,MLP,pca,21.0,113.45243339538574,12.10246661631916,1.6908730596664179,0.3376509259261404,68.2354413509369,8.614487105363406,5
Adult,RF,mhe,3.0,2.6399659156799316,0.04459889038653152,0.9357970378391135,0.015738402286460014,2.8210853576660155,0.0005164507615957897,5
Adult,RF,mhe+te,3.0,2.518501710891724,0.17472500119968418,1.0781636931260579,0.08356124010423464,2.337365674972534,0.04536079794444593,5
Adult,RF,pca,12.0,2.982252025604248,0.055735199398597925,1.0571311733098927,0.01987893752564206,2.8210853576660155,0.0005164507615957897,5
Adult,SVM,mhe,21.0,64.65011763572693,1.1117324312880652,0.8388524900405667,0.018044592272003578,77.08003487586976,1.0158605990759688,5
Adult,SVM,pca,21.0,65.3350706577301,1.0578965390071307,0.8476756761547058,0.013015666682783502,77.08003487586976,1.0158605990759688,5
Colleges,DT,mhe,6.0,0.10178718566894526,2.325565178762049e-05,1.0020454355048418,0.004593387128118117,0.10158104896545406,0.0004468024094667059,5
Colleges,DT,mhe+te,10.0,0.10180225372314451,1.5392869220428254e-05,1.0001897565232771,0.000243079531347437,0.10178294181823726,1.2334100773737422e-05,5
Colleges,DT,pca,2.0,0.10178217887878413,2.385949436193618e-05,1.0019955631345532,0.004430776980578581,0.10158104896545406,0.0004468024094667059,5
