ds_name,algo_name,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,12.0,DT_Adult_native-country_1_12_mhe,34189.0,25.0,14653.0,25.0,native-country,1.0,mhe,TargetEncoder,Precision,0.6763866877971474,one-hot,0.6781061328249126,0.9974643423137876
Adult,DT,12.0,DT_Adult_native-country_1_12_mhe,34189.0,25.0,14653.0,25.0,native-country,1.0,mhe,TargetEncoder,Recall,0.6055618615209989,one-hot,0.6055618615209989,1.0
Adult,DT,12.0,DT_Adult_native-country_1_12_mhe,34189.0,25.0,14653.0,25.0,native-country,1.0,mhe,TargetEncoder,F1,0.6390178170384788,one-hot,0.6397841403087993,0.998802215900584
Adult,DT,12.0,DT_Adult_native-country_1_12_mhe,34189.0,25.0,14653.0,25.0,native-country,1.0,mhe,TargetEncoder,Aver_precision,0.5044551023601036,one-hot,0.5054963326919001,0.9979401822239704
Adult,DT,12.0,DT_Adult_native-country_1_12_mhe,34189.0,25.0,14653.0,25.0,native-country,1.0,mhe,TargetEncoder,Balanced_accuracy,0.7569097833078982,one-hot,0.7572692046395542,0.9995253717839654
Adult,DT,12.0,DT_Adult_native-country_1_12_mhe,34189.0,25.0,14653.0,25.0,native-country,1.0,mhe,TargetEncoder,train_time(s),0.2025134563446045,one-hot,0.3032491207122803,0.6678121798636548
Adult,DT,12.0,DT_Adult_native-country_1_12_mhe,34189.0,25.0,14653.0,25.0,native-country,1.0,mhe,TargetEncoder,pred_time(s),0.0029342174530029,one-hot,0.0039219856262207,0.7481458966565281
Adult,DT,12.0,DT_Adult_native-country_2_12_pca,34189.0,25.0,14653.0,25.0,native-country,2.0,pca,TargetEncoder,AUC,0.760482427899507,one-hot,0.7654715641253566,0.993482270982136
Adult,DT,12.0,DT_Adult_native-country_2_12_pca,34189.0,25.0,14653.0,25.0,native-country,2.0,pca,TargetEncoder,Accuracy,0.833822425441889,one-hot,0.8358015423462772,0.997632073160774
Adult,DT,12.0,DT_Adult_native-country_2_12_pca,34189.0,25.0,14653.0,25.0,native-country,2.0,pca,TargetEncoder,Precision,0.6755270394133822,one-hot,0.6773028296207104,0.9973781444138914
Adult,DT,12.0,DT_Adult_native-country_2_12_pca,34189.0,25.0,14653.0,25.0,native-country,2.0,pca,TargetEncoder,Recall,0.6169084821428571,one-hot,0.6277901785714286,0.9826666666666666
Adult,DT,12.0,DT_Adult_native-country_2_12_pca,34189.0,25.0,14653.0,25.0,native-country,2.0,pca,TargetEncoder,F1,0.6448884351757328,one-hot,0.6516072980017377,0.9896887851830244
Adult,DT,12.0,DT_Adult_native-country_2_12_pca,34189.0,25.0,14653.0,25.0,native-country,2.0,pca,TargetEncoder,Aver_precision,0.5104393091421735,one-hot,0.516243441956376,0.9887569848980418
Adult,DT,12.0,DT_Adult_native-country_2_12_pca,34189.0,25.0,14653.0,25.0,native-country,2.0,pca,TargetEncoder,Balanced_accuracy,0.760482427899507,one-hot,0.7654715641253566,0.993482270982136
Adult,DT,12.0,DT_Adult_native-country_2_12_pca,34189.0,25.0,14653.0,25.0,native-country,2.0,pca,TargetEncoder,train_time(s),0.2015495300292968,one-hot,0.3022835254669189,0.6667565813187323
Adult,DT,12.0,DT_Adult_native-country_2_12_pca,34189.0,25.0,14653.0,25.0,native-country,2.0,pca,TargetEncoder,pred_time(s),0.0029299259185791,one-hot,0.003892183303833,0.7527718223583472
Adult,DT,12.0,DT_Adult_native-country_2_12_mhe,34189.0,25.0,14653.0,25.0,native-country,2.0,mhe,TargetEncoder,AUC,0.7666048394284876,one-hot,0.7654715641253566,1.0014804930140362
Adult,DT,12.0,DT_Adult_native-country_2_12_mhe,34189.0,25.0,14653.0,25.0,native-country,2.0,mhe,TargetEncoder,Accuracy,0.8373711867876885,one-hot,0.8358015423462772,1.001878010941455
Adult,DT,12.0,DT_Adult_native-country_2_12_mhe,34189.0,25.0,14653.0,25.0,native-country,2.0,mhe,TargetEncoder,Precision,0.6819145713420176,one-hot,0.6773028296207104,1.0068089804436366
Adult,DT,12.0,DT_Adult_native-country_2_12_mhe,34189.0,25.0,14653.0,25.0,native-country,2.0,mhe,TargetEncoder,Recall,0.6280691964285714,one-hot,0.6277901785714286,1.0004444444444442
Adult,DT,12.0,DT_Adult_native-country_2_12_mhe,34189.0,25.0,14653.0,25.0,native-country,2.0,mhe,TargetEncoder,F1,0.6538852578068264,one-hot,0.6516072980017377,1.0034959089808762
Adult,DT,12.0,DT_Adult_native-country_2_12_mhe,34189.0,25.0,14653.0,25.0,native-country,2.0,mhe,TargetEncoder,Aver_precision,0.5192606690470748,one-hot,0.516243441956376,1.0058445819268225
Adult,DT,12.0,DT_Adult_native-country_2_12_mhe,34189.0,25.0,14653.0,25.0,native-country,2.0,mhe,TargetEncoder,Balanced_accuracy,0.7666048394284875,one-hot,0.7654715641253566,1.0014804930140362
Adult,DT,12.0,DT_Adult_native-country_2_12_mhe,34189.0,25.0,14653.0,25.0,native-country,2.0,mhe,TargetEncoder,train_time(s),0.2025146484375,one-hot,0.3022835254669189,0.6699493401920862
Adult,DT,12.0,DT_Adult_native-country_2_12_mhe,34189.0,25.0,14653.0,25.0,native-country,2.0,mhe,TargetEncoder,pred_time(s),0.0029346942901611,one-hot,0.003892183303833,0.7539969372128568
Adult,DT,12.0,DT_Adult_native-country_3_12_pca,34189.0,25.0,14653.0,25.0,native-country,3.0,pca,TargetEncoder,AUC,0.7633027612010397,one-hot,0.7624174589888506,1.001161177779642
Adult,DT,12.0,DT_Adult_native-country_3_12_pca,34189.0,25.0,14653.0,25.0,native-country,3.0,pca,TargetEncoder,Accuracy,0.8384631133556268,one-hot,0.8387360949976114,0.9996745321399512
Adult,DT,12.0,DT_Adult_native-country_3_12_pca,34189.0,25.0,14653.0,25.0,native-country,3.0,pca,TargetEncoder,Precision,0.6811367895065584,one-hot,0.6832493702770781,0.9969080384667416
Adult,DT,12.0,DT_Adult_native-country_3_12_pca,34189.0,25.0,14653.0,25.0,native-country,3.0,pca,TargetEncoder,Recall,0.6183725545789623,one-hot,0.615253756733768,1.0050691244239631
Adult,DT,12.0,DT_Adult_native-country_3_12_pca,34189.0,25.0,14653.0,25.0,native-country,3.0,pca,TargetEncoder,F1,0.6482389656709764,one-hot,0.6474712815157392,1.0011856651826163
Adult,DT,12.0,DT_Adult_native-country_3_12_pca,34189.0,25.0,14653.0,25.0,native-country,3.0,pca,TargetEncoder,Aver_precision,0.5130546190726935,one-hot,0.5129807638922212,1.0001439726119783
Adult,DT,12.0,DT_Adult_native-country_3_12_pca,34189.0,25.0,14653.0,25.0,native-country,3.0,pca,TargetEncoder,Balanced_accuracy,0.7633027612010397,one-hot,0.7624174589888506,1.001161177779642
