ds_name,algo_name,J,hc_cat_encoder,performance_mean,performance_std,relative_performance_mean,relative_performance_std,performance_baseline_mean,performance_baseline_std,measure_count
Adult,DT,12.0,mhe,0.6440431806082214,0.006863463222108217,0.998780080856737,0.004353206251915661,0.644822519582686,0.005232639697674461,5
Adult,DT,12.0,mhe+te,0.6432817345397738,0.00732849471348655,1.0000817131854087,0.0029813498340230567,0.6432300334802926,0.007179367969517543,5
Adult,DT,12.0,pca,0.6424055412840028,0.004602546818942896,0.9962667172915941,0.004795250774985338,0.644822519582686,0.005232639697674461,5
Adult,GBDT,21.0,mhe,0.6902604806234756,0.004493744257074553,0.9998927463052916,0.001884152719639926,0.6903360224507556,0.004595091976345382,5
Adult,GBDT,21.0,mhe+te,0.6898497603785863,0.005343621812585719,1.0013321388134941,0.0039027592287843465,0.688934490379416,0.0050479124224404774,5
Adult,GBDT,21.0,pca,0.6903924720397934,0.004913973885619093,1.000082151158473,0.0027451116794308334,0.6903360224507556,0.004595091976345382,5
Adult,LR,21.0,mhe,0.6551716852698545,0.004398939519396196,0.9996490685290784,0.0006621151276294977,0.6554040373530816,0.004800425444482784,5
Adult,LR,21.0,pca,0.6553753120328728,0.004928687721880307,0.9999550710995202,0.00035100967181516887,0.6554040373530816,0.004800425444482784,5
Adult,MLP,3.0,mhe,0.6445285837246659,0.0067872727046976835,1.0055039042281126,0.024716884989239005,0.6411977517272449,0.010723348419223433,5
Adult,MLP,3.0,pca,0.6385090146532748,0.004811259959280139,0.9960970929556832,0.02232226232295907,0.6411977517272449,0.010723348419223433,5
Adult,RF,3.0,mhe,0.68925404719529,0.004584400879048889,1.003090237189872,0.003984521111005094,0.6871400011367521,0.00543972611659345,5
Adult,RF,3.0,mhe+te,0.6887087831157831,0.005696140707659871,0.9997813931404274,0.005174569299832692,0.6888552797669619,0.003536571155842912,5
Adult,RF,3.0,pca,0.6876776340556164,0.005935676835761302,1.000782696787684,0.003515675338321412,0.6871400011367521,0.00543972611659345,5
Adult,SVM,21.0,mhe,0.6602291150362793,0.004266095926578458,0.9998003182366301,0.0007150836368397971,0.6603614875098123,0.004339056076973184,5
Adult,SVM,21.0,pca,0.6605395536632263,0.004301645178923521,1.0002700681420416,0.0005360596132385946,0.6603614875098123,0.004339056076973184,5
Colleges,DT,17.0,mhe,0.7164455386688209,0.010994637208695313,0.9985608641592979,0.028706891756909002,0.7178841472659652,0.020418241923244564,5
Colleges,DT,17.0,mhe+te,0.7124366192288051,0.0183912058243638,0.9968230743888069,0.005254700993311885,0.714668347822122,0.016050397787044663,5
