ds_name,algo_name,hc_cat_encoder,J,performance_mean,performance_std,relative_performance_mean,relative_performance_std,performance_baseline_mean,performance_baseline_std,measure_count
Adult,DT,mhe,12.0,0.6440431806082214,0.006863463222108217,0.998780080856737,0.004353206251915661,0.644822519582686,0.005232639697674461,5
Adult,DT,mhe+te,12.0,0.6432817345397738,0.00732849471348655,1.0000817131854087,0.0029813498340230567,0.6432300334802926,0.007179367969517543,5
Adult,DT,pca,21.0,0.6443229665354124,0.0062492836476309675,0.9992222664828777,0.004545867745721176,0.644822519582686,0.005232639697674461,5
Adult,GBDT,mhe,21.0,0.6902604806234756,0.004493744257074553,0.9998927463052916,0.001884152719639926,0.6903360224507556,0.004595091976345382,5
Adult,GBDT,mhe+te,21.0,0.6898497603785863,0.005343621812585719,1.0013321388134941,0.0039027592287843465,0.688934490379416,0.0050479124224404774,5
Adult,GBDT,pca,21.0,0.6903924720397934,0.004913973885619093,1.000082151158473,0.0027451116794308334,0.6903360224507556,0.004595091976345382,5
Adult,LR,mhe,21.0,0.6551716852698545,0.004398939519396196,0.9996490685290784,0.0006621151276294977,0.6554040373530816,0.004800425444482784,5
Adult,LR,pca,16.0,0.6554414720414745,0.004637110026947155,1.000058595323,0.00033106903640467205,0.6554040373530816,0.004800425444482784,5
Adult,MLP,mhe,3.0,0.6445285837246659,0.0067872727046976835,1.0055039042281126,0.024716884989239005,0.6411977517272449,0.010723348419223433,5
Adult,MLP,pca,21.0,0.6438104276389643,0.005518497071180212,1.004210015590496,0.011549894369173102,0.6411977517272449,0.010723348419223433,5
Adult,RF,mhe,3.0,0.68925404719529,0.004584400879048889,1.003090237189872,0.003984521111005094,0.6871400011367521,0.00543972611659345,5
Adult,RF,mhe+te,21.0,0.6901939680171775,0.003209603507779257,1.001946200820689,0.0015490122666462216,0.6888552797669619,0.003536571155842912,5
Adult,RF,pca,2.0,0.6902321582620743,0.00441963289533558,1.004515444249963,0.004136737190123646,0.6871400011367521,0.00543972611659345,5
Adult,SVM,mhe,21.0,0.6602291150362793,0.004266095926578458,0.9998003182366301,0.0007150836368397971,0.6603614875098123,0.004339056076973184,5
Adult,SVM,pca,21.0,0.6605395536632263,0.004301645178923521,1.0002700681420416,0.0005360596132385946,0.6603614875098123,0.004339056076973184,5
Colleges,DT,mhe,17.0,0.7164455386688209,0.010994637208695313,0.9985608641592979,0.028706891756909002,0.7178841472659652,0.020418241923244564,5
Colleges,DT,mhe+te,17.0,0.7124366192288051,0.0183912058243638,0.9968230743888069,0.005254700993311885,0.714668347822122,0.016050397787044663,5
Colleges,DT,pca,6.0,0.7131204320757683,0.019171985610857083,0.9934600513042666,0.012142141683965707,0.7178841472659652,0.020418241923244564,5
Colleges,GBDT,mhe,17.0,0.7626574735190433,0.010434679068723751,1.0025499598426069,0.006318696689766072,0.7607439299700284,0.011672600263470985,5
Colleges,GBDT,mhe+te,6.0,0.7627332626767663,0.01392455719791302,1.003610575259835,0.008158008682726613,0.7600111595960425,0.014085749360077181,5
Colleges,GBDT,pca,10.0,0.766944990963095,0.016106532309664707,1.008093194336054,0.008021173561309094,0.7607439299700284,0.011672600263470985,5
Colleges,LR,mhe,17.0,0.7745234086565678,0.01559732649744216,0.9840671094445497,0.005577245917983362,0.7870752484365026,0.01595308193902368,5
Colleges,LR,pca,17.0,0.7871426483009973,0.01647096264059752,1.0000773572190367,0.0027913036185547367,0.7870752484365026,0.01595308193902368,5
Colleges,MLP,mhe,17.0,0.7867897231557816,0.01522781913269302,1.0017134477507468,0.0062226540954770605,0.7854667088426386,0.01591623079551166,5
Colleges,MLP,pca,13.0,0.7890463323943516,0.017405410999516382,1.0045728807772545,0.010987587008739976,0.7854667088426386,0.01591623079551166,5
Colleges,RF,mhe,6.0,0.7972052845086033,0.019857833012655063,0.9962973572359519,0.007849038460667968,0.8001627953882391,0.018560466698945403,5
Colleges,RF,mhe+te,13.0,0.7910561704063841,0.012792290345565718,1.0048594738594636,0.009171402733414052,0.7873220110529238,0.017001187346175,5
Colleges,RF,pca,17.0,0.794460970071382,0.020087538981733346,0.9929042771769095,0.012774032979109617,0.8001627953882391,0.018560466698945403,5
Colleges,SVM,mhe,17.0,0.810987163534209,0.011758906233983388,0.9957839942207507,0.003424621003710483,0.8144249621754115,0.011851864510116803,5
Colleges,SVM,pca,17.0,0.814501133852354,0.010669034880421382,1.0001173645345551,0.004487580815087259,0.8144249621754115,0.011851864510116803,5
Crime,DT,mhe,64.0,0.8409726167497347,0.0014972143075485424,0.9954826636192831,0.0019067653215685296,0.8447895437810307,0.0010907078946543732,5
Crime,DT,mhe+te,64.0,0.8387406645332506,0.0017357090850570614,0.9955296800139133,0.0016504175938470706,0.8425069149150184,0.0010166208932773167,5
Crime,DT,pca,64.0,0.8416626083665587,0.0007642575403314398,0.9962995257299834,0.001250034795299247,0.8447895437810307,0.0010907078946543732,5
Crime,GBDT,mhe,64.0,0.8775504315216855,0.0005745680370499863,0.999998991288417,0.00042953395925741076,0.8775515482669386,0.0008341617780678438,5
Crime,GBDT,mhe+te,64.0,0.8779822533364307,0.000726092197573708,0.997305017192241,0.0006727787111586065,0.8803551057448283,0.0009285771120962828,5
Crime,GBDT,pca,51.0,0.878497649638842,0.0008928093771805964,1.0010780887657662,0.00025311752450550947,0.8775515482669386,0.0008341617780678438,5
Crime,LR,mhe,64.0,0.875143170330168,0.0005724685202110022,0.9964582722924853,0.0011509186014657447,0.8782542104610673,0.0006395237790673014,5
