ds_name,algo_name,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,mhe,TargetEncoder,Precision,0.6823000321233537,one-hot,0.6781061328249126,1.0061847240357047
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,mhe,TargetEncoder,Recall,0.6027241770715096,one-hot,0.6055618615209989,0.9953139643861292
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,mhe,TargetEncoder,F1,0.6400482145547688,one-hot,0.6397841403087993,1.000412755223726
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,mhe,TargetEncoder,Aver_precision,0.5067823000720147,one-hot,0.5054963326919001,1.002543969751999
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,mhe,TargetEncoder,Balanced_accuracy,0.7569286264097776,one-hot,0.7572692046395542,0.9995502547473344
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,mhe,TargetEncoder,train_time(s),0.2025537490844726,one-hot,0.3032491207122803,0.6679450499599422
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe,34189.0,15.0,14653.0,15.0,native-country,1.0,mhe,TargetEncoder,pred_time(s),0.0018930435180664,one-hot,0.0039219856262207,0.4826747720364729
Adult,DT,2.0,DT_Adult_native-country_2_2_pca,34189.0,15.0,14653.0,15.0,native-country,2.0,pca,TargetEncoder,AUC,0.7610976208087581,one-hot,0.7654715641253566,0.994285949313354
Adult,DT,2.0,DT_Adult_native-country_2_2_pca,34189.0,15.0,14653.0,15.0,native-country,2.0,pca,TargetEncoder,Accuracy,0.8337541800313929,one-hot,0.8358015423462772,0.9975504205111456
Adult,DT,2.0,DT_Adult_native-country_2_2_pca,34189.0,15.0,14653.0,15.0,native-country,2.0,pca,TargetEncoder,Precision,0.6745742092457421,one-hot,0.6773028296207104,0.99597134360638
Adult,DT,2.0,DT_Adult_native-country_2_2_pca,34189.0,15.0,14653.0,15.0,native-country,2.0,pca,TargetEncoder,Recall,0.6188616071428571,one-hot,0.6277901785714286,0.9857777777777776
Adult,DT,2.0,DT_Adult_native-country_2_2_pca,34189.0,15.0,14653.0,15.0,native-country,2.0,pca,TargetEncoder,F1,0.6455180442374855,one-hot,0.6516072980017377,0.9906550252231276
Adult,DT,2.0,DT_Adult_native-country_2_2_pca,34189.0,15.0,14653.0,15.0,native-country,2.0,pca,TargetEncoder,Aver_precision,0.5106913100086748,one-hot,0.516243441956376,0.989245128370715
Adult,DT,2.0,DT_Adult_native-country_2_2_pca,34189.0,15.0,14653.0,15.0,native-country,2.0,pca,TargetEncoder,Balanced_accuracy,0.7610976208087581,one-hot,0.7654715641253566,0.994285949313354
