ds_name,algo_name,hc_cat_encoder,J,performance_mean,performance_std,relative_performance_mean,relative_performance_std,performance_baseline_mean,performance_baseline_std,measure_count
Traffic,RF,pca,31.0,0.7192206616118637,0.0020690305901193704,1.0311196424981766,0.0025183619814928737,0.697520119135946,0.003362546452218695,5
Traffic,RF,pca,42.0,0.7218073227341838,0.0016942238827486454,1.0348353509467436,0.004727066318005955,0.697520119135946,0.003362546452218695,5
Traffic,RF,pca,52.0,0.724747916314832,0.00527651638079179,1.0390295651652532,0.00420452946239053,0.697520119135946,0.003362546452218695,5
Traffic,RF,pca,105.0,0.7243244810538619,0.001919065310459394,1.0384387611031065,0.003191376894390788,0.697520119135946,0.003362546452218695,5
Traffic,RF,pca,157.0,0.7250798889030723,0.0025571779002985864,1.0395193133169323,0.0031091238817513196,0.697520119135946,0.003362546452218695,5
Traffic,RF,pca,210.0,0.7255823919698747,0.0022789588769666753,1.0402391406634226,0.002319717608603291,0.697520119135946,0.003362546452218695,5
Traffic,RF,pca,262.0,0.7254056925292258,0.00261655294512244,1.039984469819732,0.0022957818672643578,0.697520119135946,0.003362546452218695,5
Traffic,SVM,mhe,2.0,0.559815964186065,0.008332594122627155,0.7769067207619127,0.012694820446006559,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,4.0,0.5596096606002183,0.00854527046174311,0.7766195481290914,0.012898232918944964,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,6.0,0.5594950897571758,0.008549077166144968,0.7764610462277984,0.012939307961902938,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,8.0,0.559309083114977,0.008390062096550672,0.7762024891103685,0.012705998942176125,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,10.0,0.559009762884229,0.008596900669825646,0.7757882931005265,0.013057367299163175,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,21.0,0.5565320358626817,0.006843333744835152,0.7723538369738528,0.011237563665527315,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,31.0,0.5579155554908248,0.003355534548367178,0.7742652370689916,0.006421587129716783,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,42.0,0.5646185635400348,0.00900487300865664,0.7835637091199721,0.012978863600072917,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,52.0,0.5654208354497976,0.009848234159893028,0.7846668659635754,0.013364768781423307,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,105.0,0.6696341225064044,0.0030881932730946323,0.9292906811320757,0.0032240616504678023,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,157.0,0.7227267514916697,0.0015572217717466793,1.0029740704409733,0.0020983941426336345,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,210.0,0.726105364915935,0.002477948337826875,1.0076606024742258,0.002459263364609573,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,mhe,262.0,0.7227747955907172,0.0030082604546964983,1.0030356336406356,0.0020944819611062176,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,2.0,0.6023348614304149,0.008920631969509775,0.8359092664007596,0.013245384303349714,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,4.0,0.6188599770842454,0.008099078278924693,0.8588340312580705,0.011460539080007546,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,6.0,0.6363994167973089,0.006528165492613312,0.8831705761610975,0.008849436912427337,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,8.0,0.6394833938075151,0.0057825661523841715,0.8874546051520404,0.00836356910836656,0.7205881796047116,0.002869425389707493,5
