ds_name,dataset,hc_col,cardinality,card_rank,samples_per_cat,na_ratio,positve_ratio,mdi_imp,perm_imp,mdi_imp_rank,mdi_imp_rank_cat,perm_imp_rank,perm_imp_rank_cat,p_samples,tot_samples,p_count,N,l
Adult,Adult,native-country,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.0179189284438145,0.0053888047172515,12.0,6.0,13.0,7.0,11687.0,48842.0,11687.0,48842.0,14.0
Colleges,Colleges,Carnegie Basic Classification,34.0,3.0,229.52941176470588,0.4419528446950282,0.3141978472578165,0.1845693068440675,0.0520117888262429,1.0,1.0,2.0,2.0,2452.0,7804.0,2452.0,7804.0,25.0
EmployeeSalaries,Employ,Employee Position Title,385.0,2.0,23.96883116883117,0.0,0.1607065452969224,0.4347806449428646,0.1259427828348504,1.0,1.0,1.0,1.0,1483.0,9228.0,1483.0,9228.0,7.0
Crime,Crime,Crm Cd Desc,136.0,4.0,1434.6323529411766,0.0,0.7411818973912152,0.2213476489073077,0.1445866434319102,1.0,1.0,1.0,1.0,144612.0,195110.0,144612.0,195110.0,19.0
TrafficViolations,Traffic,Charge,525.0,2.0,76.19047619047619,0.0,0.5,0.5277374334978269,0.3099724999999999,1.0,1.0,1.0,1.0,20000.0,40000.0,641180.0,1228389.0,17.0
H1BVisa,Visa,SOC_NAME,763.0,2.0,39.31847968545216,0.005933333333333333,0.6666666666666666,0.2167262556831823,0.1268166666666666,3.0,2.0,1.0,1.0,20000.0,30000.0,2615623.0,3002445.0,9.0
AutoLoan,Loan,employee_code_id,3147.0,1.0,19.065776930409914,0.0,0.5,0.1454893542463031,0.1554033333333332,1.0,1.0,1.0,1.0,30000.0,60000.0,35428.0,199717.0,46.0
RoadSafety,Road,Local_Authority_(District),380.0,1.0,105.26315789473684,0.0,0.5,0.0857108470552115,0.123075,1.0,1.0,1.0,1.0,20000.0,40000.0,25080.0,117536.0,24.0
