exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,F1,0.8333603313817602
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,Aver_precision,0.8203775242584344
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,Balanced_accuracy,0.6829768176494637
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,train_time(s),2305.1564910411835
NeuralNet_Crime_Crm Cd Desc_1_12_mhe,Crime,136577.0,1856.0,58533.0,1856.0,Crm Cd Desc,1.0,NeuralNet,12.0,mhe,one-hot,pred_time(s),0.47871947288513184
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,AUC,0.6906194882583505
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,Accuracy,0.7600498863888746
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,Precision,0.8423082284068206
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,Recall,0.8332299207169941
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,F1,0.837744480770786
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,Aver_precision,0.8258177622319982
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,Balanced_accuracy,0.6906194882583505
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,train_time(s),2804.5986256599426
NeuralNet_Crime_Crm Cd Desc_2_12_pca,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,pca,one-hot,pred_time(s),0.5425491333007812
NeuralNet_Crime_Crm Cd Desc_2_12_mhe,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,mhe,one-hot,AUC,0.6818597574901386
NeuralNet_Crime_Crm Cd Desc_2_12_mhe,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,mhe,one-hot,Accuracy,0.756718432337314
NeuralNet_Crime_Crm Cd Desc_2_12_mhe,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,mhe,one-hot,Precision,0.8368892264494004
NeuralNet_Crime_Crm Cd Desc_2_12_mhe,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,mhe,one-hot,Recall,0.8356199011834999
NeuralNet_Crime_Crm Cd Desc_2_12_mhe,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,mhe,one-hot,F1,0.8362540821489352
NeuralNet_Crime_Crm Cd Desc_2_12_mhe,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,mhe,one-hot,Aver_precision,0.8215258610703293
NeuralNet_Crime_Crm Cd Desc_2_12_mhe,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,mhe,one-hot,Balanced_accuracy,0.6818597574901386
NeuralNet_Crime_Crm Cd Desc_2_12_mhe,Crime,136577.0,1853.0,58533.0,1853.0,Crm Cd Desc,2.0,NeuralNet,12.0,mhe,one-hot,train_time(s),2794.860696554184
